"output","input","emission1","emission2","ctcssIn","ctcssOut","dmrCc1","dmrGc1","dmrCc2","dmrGc2","fusion","fusionDsq","nxdnRan","p25NacOut","p25NacIn","recordId","coordinated","callsign","holder","city","coordDate","updateDate","latitude","longitude","agl","structure","antenna","erp","chanSize","svcRing","intRing","adj1Ring","adj2Ring","modeled","modelUrl","autopatch","autopatchClosed?","bilingual","dtmf","dtmfSeq","p25Phase1","url","linked?","litz","races","remoteBase","weather","weatherDtmfSeq","wideAreaCoverage"
"0.0000","NULL","16K0F3E","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3601","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.000","NULL","NULL","NULL","NULL","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"444.6250","449.6250","16K0F3E","NULL","136.5","136.5","NULL","","NULL","","0","","NULL","NULL","NULL","1423","0","SERA","","Sandersville-MS","0000-00-00","0000-00-00","31.71","-88.91","128.02","NULL","NULL","98.0","25.000","NULL","NULL","NULL","NULL","0","NULL","0","0","0","0","","0","","0","0","0","","0","","0"
"444.6250","449.6250","16K0F3E","NULL","110.9","110.9","NULL","","NULL","","0","","NULL","NULL","NULL","416","0","AD4PS","Dennis M. Hamilton, AD4PS","West Palm Beach","2020-02-28","2009-12-09","26.47","-80.07","83.82","NULL","NULL","200.0","25.000","NULL","NULL","NULL","NULL","0","NULL","0","0","0","0","","0","","0","0","0","N","0","","0"
"462.5750","467.5750","16K0F3E","8K10F1E","141.3","141.3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","575","575","3581","0","WRAF954","Bryan Fields","Tampa","NULL","2021-03-04","27.95","-82.46","140.21","BANT","DB420","394.5","25.000","NULL","NULL","NULL","NULL","1","https://plots.fasma.org/uncoordinated/462.5750_WRAF954_Tampa_3581.kmz","NULL","NULL","NULL","NULL","NULL","NULL","http://flscg.org","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"440.1234","NULL","16K0F3E","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3621","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.000","NULL","NULL","NULL","NULL","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"444.0000","449.0000","16K0F3E","NULL","136.5","131.8","NULL","","NULL","","0","","NULL","NULL","NULL","727","0","W4ARG","","Marco Island","2020-01-06","2007-01-06","25.96","-81.74","15.24","NULL","NULL","400.0","25.000","NULL","NULL","NULL","NULL","0","NULL","0","0","0","0","","0","","0","0","0","N","0","","0"
"444.0000","NULL","16K0F3E","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1482","0","WX4PEM","NULL","NULL","NULL","NULL","28.15","-82.28","NULL","NULL","NULL","NULL","0.000","NULL","NULL","NULL","NULL","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
